Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_204.jpg;-15;0;0;0;99.67;85.58897;0.0002475158;21.09943;1.371673E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_254.jpg;-15;0;0;0;99.67;85.58897;0.0002490317;19.29942;1.348798E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_305.jpg;-15;0;0;0;99.67;85.58897;0.000250191;16.59939;1.358238E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_354.jpg;-15;0;0;0;99.67;85.58897;0.0002509288;14.79941;1.287876E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_405.jpg;-15;0;0;0;99.67;85.58897;0.000252366;12.09943;1.105591E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_454.jpg;-15;0;0;0;99.67;85.58897;0.0002530776;10.29942;1.105704E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_504.jpg;-14.97141;0;0;0;99.67;85.58897;0.0002539056;7.662468;1.008508E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_554.jpg;-14.00478;0;0;0;99.67;85.58897;0.0002557604;5.922188;9.597775E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_604.jpg;-11.00591;0;0;0;99.67;85.58897;0.0002574791;3.762184;6.588398E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_655.jpg;-7.988887;0;0;0;99.67;85.58897;0.0002590026;2.682213;3.605492E-06
